year,Chung,kien_co,ban_kien_co,thieu_kien_co,don_so,
2014,17.4,25.4,18.1,13.0,10.4,
2016,17.6,22.7,18.7,13.0,9.4,
2018,20.2,26.6,21.2,15.4,15.5,
2014,25.0,40.3,22.8,11.3,12.6,
2016,26.3,39.4,25.1,19.9,30.0,
2018,29.3,36.7,27.8,20.3,0.0,
2014,23.3,32.0,22.3,7.7,17.0,
2016,22.7,31.6,20.9,15.8,13.8,
2018,24.3,35.1,22.8,18.4,0.0,
2014,22.6,29.2,22.7,15.3,12.9,
2016,22.9,34.5,22.6,14.6,11.5,
2018,23.4,34.5,23.1,16.4,10.3,
2014,19.8,23.7,19.1,13.7,14.0,
2016,20.2,21.9,20.1,17.3,8.6,
2018,21.6,25.5,21.2,20.0,10.4,
2014,24.2,25.8,21.8,18.1,21.7,
2016,25.3,26.6,22.9,35.9,13.7,
2018,26.3,27.5,24.5,40.0,0.0,
2014,18.5,20.9,19.7,16.4,15.1,
2016,19.8,25.4,20.0,17.3,16.5,
2018,20.3,22.5,20.4,18.1,16.5,
2014,20.8,22.0,16.4,13.6,5.2,
2016,23.8,24.7,18.6,15.9,,
2018,25.1,26.0,21.4,19.4,0.0,
2014,21.0,25.7,20.9,17.3,14.0,
2016,21.8,25.1,22.4,16.2,14.4,
2018,22.9,27.1,22.7,16.2,18.9,
2014,25.0,25.4,17.9,,,
2016,28.3,28.9,22.7,21.0,,
2018,30.6,31.5,14.4,0.0,0.0,
2014,20.6,22.0,18.7,12.3,12.3,
2016,21.6,23.0,19.9,12.2,11.7,
2018,23.1,25.1,20.1,12.4,12.1,
2014,26.1,31.3,26.9,20.1,18.1,
2016,26.6,29.5,27.8,20.5,19.3,
2018,30.4,37.0,30.6,21.5,21.2,
2014,20.9,22.5,21.0,17.0,14.0,
2016,22.3,23.5,21.9,18.8,20.2,
2018,23.9,25.2,24.2,20.7,19.7,
2014,19.7,26.7,21.4,17.1,14.5,
2016,20.6,28.0,21.8,17.7,16.4,
2018,23.6,31.6,24.8,17.5,16.3,
2014,20.2,28.2,20.6,14.6,14.6,
2016,21.0,28.4,21.1,16.5,11.7,
2018,23.2,30.7,23.4,16.8,13.6,
2014,17.0,17.3,17.6,12.2,9.7,
2016,17.8,23.3,17.5,8.1,6.9,
2018,20.0,23.9,20.0,13.7,15.0,
2014,18.4,31.8,17.9,15.5,14.3,
2016,18.7,28.4,17.3,15.6,14.1,
2018,19.4,26.4,19.0,16.8,14.0,
2014,22.4,22.7,16.1,9.4,15.0,
2016,23.9,24.3,16.3,11.7,,
2018,27.1,27.6,15.3,32.8,0.0,
2014,25.1,25.6,18.9,8.6,8.5,
2016,25.8,26.2,21.1,19.2,,
2018,27.7,28.1,24.6,13.6,12.5,
2014,22.7,23.4,20.7,14.6,20.0,
2016,23.1,23.9,19.9,17.4,15.4,
2018,24.7,25.4,20.9,19.7,12.0,
2014,16.9,19.0,14.4,12.7,10.5,
2016,17.9,20.2,15.0,13.1,7.0,
2018,19.4,21.9,15.3,12.9,15.1,
2014,22.2,21.9,26.9,,4.7,
2016,25.6,26.1,15.6,,,
2018,26.5,27.1,13.6,0.0,0.0,
2014,22.5,22.8,16.2,,,
2016,24.6,24.9,17.1,,,
2018,26.2,26.5,19.3,0.0,0.0,
2014,18.5,19.7,13.5,8.5,,
2016,19.1,20.1,12.8,,,
2018,22.2,23.8,13.7,14.6,0.0,
2014,19.7,28.0,21.4,16.0,14.8,
2016,21.3,19.3,22.7,17.6,14.4,
2018,22.6,22.6,23.8,15.5,16.4,
2014,19.3,21.4,17.6,8.9,13.4,
2016,20.7,21.5,20.2,10.1,24.2,
2018,21.6,22.5,20.6,8.7,0.0,
2014,17.6,31.5,18.8,15.5,13.8,
2016,19.0,33.9,20.3,15.1,13.9,
2018,19.1,29.9,20.0,15.5,13.8,
2014,15.4,13.6,16.6,10.9,10.2,
2016,18.2,20.4,17.7,11.9,8.9,
2018,15.9,14.9,16.6,13.1,13.0,
2014,13.0,19.9,11.8,10.3,9.7,
2016,14.7,23.6,14.0,9.2,10.2,
2018,15.0,24.1,13.7,10.7,14.7,
2014,24.5,30.7,24.4,17.4,17.0,
2016,27.0,34.6,26.1,17.2,17.6,
2018,29.4,34.4,29.7,21.1,15.1,
2014,19.5,31.5,17.8,13.8,14.5,
2016,20.4,34.2,17.6,13.7,11.8,
2018,22.1,36.4,18.9,13.6,14.3,
